INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL,ISBN-13,ISBN-10,REFERÊNCIA,CONFIABILIDADE TOTAL
INFANTIL,"O QUE É, O QUE É?",WAGNER CORTEZ,BRASIL TROPICAL,900,60,54000,978-8584151042.,8584151044,https://www.amazon.com/que-%C3%A9/dp/8584151044: Alta | https://shopee.com.br/O-que-%C3%A9-o-que-%C3%A9-Wagner-Cortez-Ed.-Brasil-Tropical-i.959993877.22292464179: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INFANTIL,TEM INDIO PRA TODO LADO ,VINICIOS FERRAZ,BRASIL TROPICAL,900,55,49500,9788599982129,8599982125,https://www.skoob.com.br/livro/resenhas/12148816/edicao:12131529: Muito Alta | https://www.skoob.com.br/tem-indio-pra-todo-lado-12148816ed12131529.html: Muito Alta | https://www.mercadolivre.com.br/tem-indio-pra-todo-lado-de-vinicius-ferraz-editora-brasil-tropical-capa-mole-em-portugus-2018/p/MLB26636772: Alta | https://www.skoob.com.br/livro/pdf/tem-indio-pra-todo-lado/livro:12148816/edicao:12131529?privacy-agree=true: Alta | https://www.amazon.com.br/TEM-INDIO-PRA-TODO-LADO/dp/8599982125: Alta | ,Alta
INFANTIL,"TOM, ELIS E CHICO ",MÔNICA MOTA,BRASIL TROPICAL,900,60,54000,9788582113004,8582113009,,
INFANTIL,A GALINHA XADREZ,ROGÉRIO TREZZA,BRINQUE BOOK,900,65,58500,9788585357566,,https://www.mercadolivre.com.br/a-galinha-xadrez-de-trezza-rogerio-editorial-brinque-book-editora-de-livros-ltda-capa-mole-em-portugus-2002/p/MLB19333033: Muito Alta | https://www.livrariaespaco.com.br/produtos/a-galinha-xadrez-rogerio-trezza-editora-brinque-book/: Alta | ,Alta
INFANTIL,A MACAQUINHA,MARTA ALTÉS,BRINQUE BOOK,900,65,58500,9788574126210,8574126217,https://www.mercadolivre.com.br/a-macaquinha-de-marta-altes-editora-brinque-book-capa-mole-em-portugus-2020/p/MLB19341715: Alta | https://www.wook.pt/livro/a-macaquinha-marta-altes/30796319: Baixa | https://www.fnac.pt/A-Macaquinha-Marta-Altes/a12056239: Baixa | https://rede-sagrado.i10bibliotecas.com.br/livro/16781: Baixa | https://www.amazon.com.br/Macaquinha-Marta-Altés/dp/8574126217: Baixa | ,Baixa
INFANTIL,A ÚLTIMA HISTÓRIA ANTES DE DORMIR,NICOLA O'BRYNE,BRINQUE BOOK,900,70,63000,978-85-428-2031-0,9788542820312,,
INFANTIL,A VELHINHA QUE DAVA NOME ÀS COISAS,CYNTHIA RYLANT,BRINQUE BOOK,900,65,58500,978-85-8535-785-6,9788585357856,https://www.companhiadasletras.com.br/livro/9788585357856/a-velhinha-que-dava-nome-as-coisas?srsltid=AfmBOorVDA_gkUis6OT-R_KwaZJxAZbpZMerRA9VGpCXs1BwUT9Gm90b: Alta | https://www.fnac.pt/mp8717123/A-Velhinha-Que-Dava-Nome-As-Coisas: Alta | https://www.amazon.com/Old-Woman-Who-Named-Things/dp/B00RCTLWK4: Alta | https://www.mercadolivre.com.br/livro-a-velhinha-que-dava-nome-s-coisas-de-cynthia-rylant-da-editora-brinque-book/p/MLB19341550: Baixa | ,Alta
INFANTIL,A VERDADE SEGUNDO ARTHUR,TIM HOPGOOD,BRINQUE BOOK,900,65,58500,9788574125718,8574125717,https://www.abebooks.de/9788574125718/Verdade-Segundo-Arthur-8574125717/plp: Muito Alta | https://www.companhiadasletras.com.br/livro/9788574125718/a-verdade-segundo-arthur: Alta | https://www.amazon.com.br/Verdade-Segundo-Arthur-Tim-Hopgood/dp/8574125717: Alta | https://www.abebooks.com/book-search/title/verdade-segundo-arthur/: Alta | https://www.amazon.com/Verdade-Segundo-Arthur-Portugues-Brasil/dp/8574125717: Alta | ,Alta
INFANTIL,"BRUXA, BRUXA VENHA À MINHA FESTA",ARDEN DRUCE,BRINQUE BOOK,900,65,58500,978-85-7412-190-1,,https://www.companhiadasletras.com.br/livro/9788574121901/bruxa-bruxa-venha-a-minha-festa?srsltid=AfmBOooIJ--52uXzK_3rRiQPBtFgZcn9ZLxOJr0CrHOXZiSgQI3WR11f: Alta | ,Alta
INFANTIL,IDEIA DE BONECO,ADRIANA FELICÍSSIMO,CASA DE LETRAS,900,48,43200,9788565206709,856520670X,https://www.amazon.com/Ideia-de-Boneco/dp/856520670X: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://www.amazon.com.br/Ideia-Boneco-Adriana-Felicissimo/dp/856520670X: Baixa | https://booktrapper.com/isbn-lookup: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INFANTIL,MEU BAIRRO - PESSOA E LUGARES,LISA BULLARD,CASA DE LETRAS,900,48,43200,9788578063014,8578063017,,
INFANTIL,MEU DIA - MANHÃ TARDE E NOITE,LISA BULLARD,CASA DE LETRAS,900,45,40500,9788542220977,8542220971,https://casadeletras.com.br/catalogo/distribuicao-exclusiva/literatura-infantil/meu-dia-manha-tarde-e-noite/: Alta | ,Alta
INFANTIL,O CIRCULO,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900,56,50400,9788565206754,8565206750,https://www.amazon.com/Circulo-Vanessa-Campos-Rocha/dp/8565206750: Alta | https://livrariapublica.com.br/livros/o-circulo-dave-eggers/: Alta | https://www.skoob.com.br/livro/pdf/o-circulo/livro:403238/edicao:457298: Alta | https://isbnsearch.org/: Muito Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | ,Alta
INFANTIL,O QUADRADO ,VANESSA CAMPOS ROCHA,CASA DE LETRAS,900,56,50400,9788555430817,8565206491,https://www.amazon.com.br/Quadrado-Vanessa-Campos-Rocha/dp/8565206491: Alta | https://www.amazon.com/Quadrado-Vanessa-Campos-Rocha/dp/855543081X: Alta | https://isbnsearch.org/: Muito Baixa | https://www.bookfinder.com/isbn_search/: Muito Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | ,Baixa
INFANTIL,PARA AQUELES QUE QUEREM VOAR,PIRKKO VAINIO,CASA DE LETRAS,900,50,45000,9788578132677,8578132677,https://casadeletras.com.br/catalogo/literatura/literatura-infantil-estrangeira/para-aqueles-que-querem-voar/: Alta | ,Alta
INFANTIL,SONHO DE UMA NOITE DE VERÃO,WILLIAM SHAKESPEARE,CASA DE LETRAS,900,59,53100,9788516091224,8516091228,https://www.skoob.com.br/livro/1570ED453682-sonho-de-uma-noite-de-verao: Muito Alta | https://livrariapublica.com.br/livros/sonho-de-uma-noite-de-verao-william-shakespeare/: Alta | https://www.amazon.com.br/Sonho-Noite-Verão-William-Shakespeare/dp/8544001726: Alta | https://www.amazon.com.br/Sonho-Noite-Verão-William-Shakespeare/dp/8534932271: Alta | https://www.book-info.com/isbn/85-328-0750-X.htm: Alta | ,Alta
INFANTIL,SUPER - EU : TUDO O QUE VOCÊ QUERIA SABER,LISA BULLARD,CASA DE LETRAS,900,40,36000,9788595081677,9788595081660,https://www.bookfinder.com/isbn_search/: Muito Baixa | https://booktrapper.com/isbn-lookup: Muito Baixa | https://uk.nicebooks.com/search/isbn: Muito Baixa | https://isbnsearch.org/: Muito Baixa | https://books.google.com/: Muito Baixa | ,Muito Baixa
INFANTIL,PROMOVENDO O HÁBITO DE LEITURA,LUANA VIGNON,CEREJA EDITORA,900,52,46800,978-85-67242-07-1,856724207X,https://casadeletras.com.br/catalogo/distribuicao-exclusiva/paradidaticos/promovendo-o-habito-de-leitura/: Muito Alta | https://www.estantevirtual.com.br/livrariadedalus/luana-vignon-promovendo-o-habito-de-leitura-2256285803: Alta | https://www.bookfinder.com/isbn_search/: Baixa | https://isbnlookup.org/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INFANTIL,ROBIN HOOD,MAURI KUNNAS,CEREJA EDITORA,900,45,40500,9788555430961,8555430968,https://www.amazon.ca/ROBIN-HOOD-MAURI-KUNNAS/dp/8555430968: Alta | https://www.abebooks.com/9788861030336/Robin-Hood-Kunnas-Mauri-8861030335/plp: Alta | https://www.abebooks.com/9789511236726/Robin-Hood-Mauri-Kunnas-9511236725/plp: Alta | https://www.amazon.com.br/Robin-Hood-Mauri-Kunnas/dp/8555430968: Alta | https://www.amazon.com/Robin-Hood-Mauri-Kunnas/dp/9738890543: Baixa | ,Alta
INFANTIL,TUDO É RELATIVO,CLAUDIA RUEDA,CEREJA EDITORA,900,45,40500,9786074005196,8555431115,https://www.amazon.com.au/Tudo-É-Relativo-Claudia-Rueda/dp/8555431115: Muito Alta | https://www.amazon.com.br/Tudo-É-Relativo-Claudia-Rueda/dp/8555431115: Muito Alta | https://www.iberlibro.com/9786074005196/RELATIVO-ÁLBUMES-RUEDA-CLAUDIA-6074005192/plp: Alta | https://www.casasbahia.com.br/livro-tudo-e-relativo/p/1537814420: Alta | https://www.amazon.com.mx/Todo-es-relativo-Claudia-Rueda/dp/6074005192: Alta | ,Alta
INFANTIL,UMA COISA É OUTRA COISA,ANA DIVA E KIKA ZANETTI,CEREJA EDITORA,900,50,45000,978-8567242132,8567242134,https://www.amazon.com.br/Uma-Coisa-é-Outra/dp/8567242134: Alta | https://www.amazon.com/Uma-Coisa-é-Outra/dp/8567242134: Alta | https://www.amazon.com.br/Uma-Coisa-Outra-Angeles-Quinteros/dp/6557172581: Alta | https://www.amazon.com/UMA-COISA-OUTRA-Flávia-Bomfim/dp/6557172581: Alta | https://www.magazineluiza.com.br/livro-uma-coisa-e-outra-coisa/p/kkc5j7d6kh/li/lltj/: Baixa | ,Alta
INFANTIL,A CAIXA DE PREOCUPAÇÕES,SUZANNE CHIEW,CIRANDA CULTURAL,900,35,31500,978-9727932825,8538079026,https://www.amazon.com.br/Caixa-Preocupações-Suzanne-Ilustração-Julian/dp/9727932827: Alta | https://www.amazon.com.br/caixa-preocupações-Perfeita-crianças-cheias/dp/8538079026: Alta | https://www.mercadolivre.com.br/a-caixa-de-preocupacoes-perfeita-para-criancas-cheias-de-medos-de-chiew-suzanne-historias-emocionantes-editorial-ciranda-cultural-editora-e-distribuidora-ltdalittle-tiger-press-capa-mole-em-portugus-2018/p/MLB19330570: Alta | https://www.amazon.com/Caixa-Preocupações-Perfeito-Crianças-Cheias/dp/8538079026: Alta | https://www.amazon.ca/caixa-preocupações-Perfeita-crianças-Português/dp/8538079026: Baixa | ,Alta
INFANTIL,A GALINHA RUIVA,DONALDO BUCHWITZ,CIRANDA CULTURAL,900,15,13500,9786526105986,652610598X,https://raullivros.com.br/loja/a-galinha-ruiva-le-pra-mim-cooperacao: Alta | https://www.amazon.com/galinha-ruiva-Ciranda-Cultural/dp/652610598X: Alta | https://shopee.com.br/Livro-A-Galinha-Ruiva-Ciranda-Cultural-i.303756716.20097979277: Alta | https://www.amazon.com.br/Galinha-Ruiva-Ciranda-Cultural/dp/8538051873: Baixa | https://www.cirandacultural.com.br/produto/a-galinha-ruiva-70473: Baixa | ,Alta
INFANTIL,A LEVEZA DAS PEDRAS,JONAS RIBEIRO,CIRANDA CULTURAL,900,40,36000,9786526106341,,https://www.livrariaespaco.com.br/produtos/a-leveza-das-pedras-jonas-ribeiro-editora-ciranda-cultural/: Muito Alta | https://www.cirandacultural.com.br/ciranda-na-escola/autores/jonas-ribeiro: Alta | https://www.cirandacultural.com.br/produto/livro-a-leveza-das-pedras-74438: Alta | ,Alta
INFANTIL,A MAIOR COISA DO MUNDO,KENNETH STEVEN,CIRANDA CULTURAL,900,40,36000,978-8538029106.,853802910X,https://www.amazon.com.br/Maior-Coisa-do-Mundo/dp/853802910X: Muito Alta | https://www.buscape.com.br/livros/a-maior-coisa-do-mundo-steven-kenneth-9788538029106: Muito Alta | https://www.cirandacultural.com.br/produto/livro-a-maior-coisa-do-mundo-73790: Alta | https://www.mercadolivre.com.br/a-maior-coisa-do-mundo-de-steven-kenneth-historias-emocionantes-editorial-ciranda-cultural-editora-e-distribuidora-ltda-capa-mole-em-portugus-2012/p/MLB19341907: Alta | https://www.fnac.pt/mp19754868/A-Maior-Coisa-do-Mundo: Baixa | ,Alta
INFANTIL,ANIMAIS DE ESTIMACAO,CIRANDA CULTURAL,CIRANDA CULTURAL,900,35,31500,9786526112229,6526112226,https://www.amazon.com/ANIMAIS-ESTIMAÇÃO-Ciranda-Cultural/dp/6526112226: Muito Alta | https://www.cirandacultural.com.br/produto/animais-de-estimacao-75573: Muito Alta | https://www.abebooks.com/9788538079255/Animais-Estimação-Ciranda-Cultural-8538079255/plp: Muito Alta | https://www.cirandacultural.com.br/produto/livro-cartonado-animais-de-estimacao-71266: Alta | https://www.abebooks.com/9788538065258/Animais-estimação-Ciranda-Cultural-8538065254/plp: Alta | ,Alta
INFANTIL,AS CORES DA RECICLAGEM,DONALDO BUCHWITZ,CIRANDA CULTURAL,900,40,36000,9786526101131,6526101135,https://www.magazineluiza.com.br/livro-as-cores-da-reciclagem/p/he3243aa76/li/lltj/: Muito Alta | https://www.mundoekko.com.br/produtos/livro-as-cores-da-reciclagem/: Alta | https://www.cirandacultural.com.br/produto/livro-as-cores-da-reciclagem-74109: Alta | https://www.amazon.com.br/As-cores-reciclagem-Donaldo-Buchweitz/dp/6526101135: Alta | https://www.overdrive.com/media/9127607/as-cores-da-reciclagem: Alta | ,Alta
INFANTIL,HISTÓRIAS DE TIA NASTÁCIA,MONTEIRO LOBATO,CIRANDA CULTURAL,900,25,22500,9788595201347,,https://www.abebooks.com/book-search/title/hist%F3rias-tia-nast%E1cia/author/monteiro-lobato/: Muito Alta | ,Muito Alta
INFANTIL,IMPERFEITAMENTE PERFEITO,PERRY EMERSON,CIRANDA CULTURAL,900,70,63000,6526106889,Não disponível.,https://www.bertrand.pt/livro/imperfeitamente-perfeito-perry-emerson/30049296: Alta | https://www.cirandacultural.com.br/produto/livro-capa-dura-imperfeitamente-perfeito-74710: Alta | https://www.amazon.com.br/Imperfeitamente-perfeito-Perry-Emerson/dp/6526106889: Baixa | https://www.bookfinder.com/isbn_search/: Baixa | https://isbnsearch.org/: Muito Baixa | ,Baixa
INFANTIL,PASSARADA EM LIBERDADE,LAÍS DE CASTRO,CONHECIMENTO,900,42,37800,9788536318344,8536318347,,
INFANTIL,QUE BICHO É ESSE?,ARLENE HOLANDA,CONHECIMENTO,900,42,37800,9786556962054.,6556962058,https://www.magazineluiza.com.br/livro-que-bicho-e-esse/p/aah98k39kf/li/lltj/: Muito Alta | https://www.abebooks.com/9788571140981/Bicho-Esse-Coleção-Brincando-Anamaria-8571140987/plp: Alta | https://www.amazon.com.br/Que-bicho-esse-Célia-Assis/dp/6556962058: Alta | https://www.abebooks.com/9781660524389/Ciúme-bicho-esse-Portuguese-Edition-1660524385/plp: Alta | https://www.amazon.com.br/Que-bicho-esse-Aventuras-curioso/dp/659938322X: Alta | ,Alta
INFANTIL,ANIMAIS DA CIDADE ,"TABACK, SIMMS",CORTEZ,900,72,64800,9788524925924,8524925922,https://www.travessa.com.br/animais-da-cidade/artigo/bcb6379f-9d89-4386-86ab-2f354e738d23: Muito Alta | https://www.disal.com.br/produto/5465060-Animais-Da-Cidade-Livro-Dobra-EDes: Muito Alta | https://www.amazon.com.br/Animais-Cidade-Simms-Taback/dp/8524925922: Muito Alta | https://www.amazon.com/Simms-Tabacks-City-Animals-Taback/dp/1934706523: Alta | https://www.bookfinder.com/isbn_search/: Baixa | ,Alta
INFANTIL,BEIJO DE BICHO ,"LIMA, ROSANGELA",CORTEZ,900,58,52200,9788524917479,8524917474,https://www.magazineluiza.com.br/livro-beijo-de-bicho/p/210928600/li/lltj/: Muito Alta | https://www.skoob.com.br/beijo-de-bicho-333428ed373706.html: Muito Alta | https://www.gettextbooks.com/isbn/9788524917479/: Alta | https://www.amazon.com.br/Beijo-bicho-Anielizab-Anielizabeth/dp/8524917474: Alta | https://www.amazon.com.br/Beijo-bicho-capa-dura-Rosângela/dp/8524917997: Baixa | ,Alta
INFANTIL,DA CABEÇA AOS PÉS,PAULINE OUD,CORTEZ,900,64,57600,9788524925979,8524925973,https://www.skoob.com.br/da-cabeca-aos-pes-754494ed757853.html: Muito Alta | https://www.amazon.com.br/Cabeça-aos-Pés-Pauline-Oud/dp/8524925973: Muito Alta | https://www.buscape.com.br/livros/da-cabeca-aos-pes-pauline-oud-9788524925979: Alta | https://www.fnac.pt/mp11512894/Da-Cabeca-Aos-Pes: Alta | https://www.estantevirtual.com.br/livros/oud-pauline/da-cabeca-aos-pes/2732302397: Alta | ,Alta
INFANTIL,"1, 2, 3 ERA UMA VEZ...","INGRID BIESEMEYER, BELLINGHAUSEN",DCL,900,40,36000,9788536802599,8536802596,https://www.amazon.com.br/Era-uma-Ingrid-Biesemeyer-Bellinghausen/dp/8536802596: Alta | https://www.amazon.com/-/es/123-Era-Uma-Portuguese-Brasil/dp/8536802596: Baixa | ,Alta
